date,exchange_rate
1981-08-20 12:00:00,1.430100
1981-08-21 12:00:00,1.429100
1981-08-24 12:00:00,1.432500
1981-08-25 12:00:00,1.428600
1981-08-26 12:00:00,1.498200
1981-08-27 12:00:00,1.501900
1981-08-28 12:00:00,1.501100
1981-08-31 12:00:00,1.504900
1981-09-01 12:00:00,1.507000
1981-09-02 12:00:00,1.506400
1981-09-03 12:00:00,1.510900
1981-09-04 12:00:00,1.508800
1981-09-07 12:00:00,1.509900
1981-09-08 12:00:00,1.508400
1981-09-09 12:00:00,1.508000
1981-09-10 12:00:00,1.510400
1981-09-11 12:00:00,1.511200
1981-09-14 12:00:00,1.387100
1981-09-15 12:00:00,1.385500
1981-09-16 12:00:00,1.387700
1981-09-17 12:00:00,1.394100
1981-09-18 12:00:00,1.399700
1981-09-21 12:00:00,1.404900
1981-09-22 12:00:00,1.403500
1981-09-23 12:00:00,1.400400
1981-09-24 12:00:00,1.396600
1981-09-25 12:00:00,1.397600
1981-09-28 12:00:00,1.393000
1981-09-29 12:00:00,1.392400
1981-09-30 12:00:00,1.393500
1981-10-01 12:00:00,1.390900
1981-10-02 12:00:00,1.390600
1981-10-05 12:00:00,1.396600
1981-10-06 12:00:00,1.394500
1981-10-07 12:00:00,1.394500
1981-10-08 12:00:00,1.395200
1981-10-09 12:00:00,1.393500
1981-10-12 12:00:00,1.404200
1981-10-13 12:00:00,1.405800
1981-10-14 12:00:00,1.397100
1981-10-15 12:00:00,1.397800
1981-10-16 12:00:00,1.392200
1981-10-19 12:00:00,1.391600
1981-10-20 12:00:00,1.393400
1981-10-21 12:00:00,1.395400
1981-10-22 12:00:00,1.386300
1981-10-23 12:00:00,1.384900
1981-10-26 12:00:00,1.384200
1981-10-27 12:00:00,1.386800
1981-10-28 12:00:00,1.382500
1981-10-29 12:00:00,1.382600
1981-10-30 12:00:00,1.387000
1981-11-02 12:00:00,1.392800
1981-11-03 12:00:00,1.392100
1981-11-04 12:00:00,1.392600
1981-11-05 12:00:00,1.392700
1981-11-06 12:00:00,1.391300
1981-11-09 12:00:00,1.392400
1981-11-10 12:00:00,1.489700
1981-11-11 12:00:00,1.488500
1981-11-12 12:00:00,1.493000
1981-11-13 12:00:00,1.497900
1981-11-16 12:00:00,1.493400
1981-11-17 12:00:00,1.484000
1981-11-18 12:00:00,1.485900
1981-11-19 12:00:00,1.494900
1981-11-20 12:00:00,1.486200
1981-11-23 12:00:00,1.481600
1981-11-24 12:00:00,1.489200
1981-11-25 12:00:00,1.495700
1981-11-26 12:00:00,1.497600
1981-11-27 12:00:00,1.497900
1981-11-30 12:00:00,1.508100
1981-12-01 12:00:00,1.504900
1981-12-02 12:00:00,1.498700
1981-12-03 12:00:00,1.495400
1981-12-04 12:00:00,1.497600
1981-12-07 12:00:00,1.493200
1981-12-08 12:00:00,1.491700
1981-12-09 12:00:00,1.483200
1981-12-10 12:00:00,1.479700
1981-12-11 12:00:00,1.479500
1981-12-14 12:00:00,1.475700
1981-12-15 12:00:00,1.475100
1981-12-16 12:00:00,1.474700
1981-12-17 12:00:00,1.476000
1981-12-18 12:00:00,1.475200
1981-12-21 12:00:00,1.474400
1981-12-22 12:00:00,1.475500
1981-12-23 12:00:00,1.474600
1981-12-24 12:00:00,1.475800
1981-12-28 12:00:00,1.476300
1981-12-29 12:00:00,1.475500
1981-12-30 12:00:00,1.474700
1981-12-31 12:00:00,1.477400
1982-01-14 12:00:00,1.675100
1982-01-15 12:00:00,1.675700
1982-01-18 12:00:00,1.671000
1982-01-19 12:00:00,1.681600
1982-01-20 12:00:00,1.676100
1982-01-21 12:00:00,1.675400
1982-01-22 12:00:00,1.675400
1982-01-25 12:00:00,1.672600
1982-01-26 12:00:00,1.670700
1982-01-27 12:00:00,1.668400
1982-01-28 12:00:00,1.667300
1982-01-29 12:00:00,1.668300
1982-02-01 12:00:00,1.664700
1982-02-02 12:00:00,1.661400
1982-02-03 12:00:00,1.670900
1982-02-04 12:00:00,1.666900
1982-02-05 12:00:00,1.676500
1982-02-08 12:00:00,1.671300
1982-02-09 12:00:00,1.657700
1982-02-10 12:00:00,1.663100
1982-02-11 12:00:00,1.665300
1982-02-12 12:00:00,1.665100
1982-02-15 12:00:00,1.660300
1982-02-16 12:00:00,1.664100
1982-02-17 12:00:00,1.666600
1982-02-18 12:00:00,1.669000
1982-02-19 12:00:00,1.680500
1982-02-22 12:00:00,1.687400
1982-02-23 12:00:00,1.690400
1982-02-24 12:00:00,1.692200
1982-02-25 12:00:00,1.689200
1982-02-26 12:00:00,1.691000
1982-03-01 12:00:00,1.691600
1982-03-02 12:00:00,1.696700
1982-03-03 12:00:00,1.699400
1982-03-04 12:00:00,1.699300
1982-03-05 12:00:00,1.712800
1982-03-08 12:00:00,1.718800
1982-03-09 12:00:00,1.714800
1982-03-10 12:00:00,1.720000
1982-03-11 12:00:00,1.718700
1982-03-12 12:00:00,1.716800
1982-03-15 12:00:00,1.720700
1982-03-16 12:00:00,1.723800
1982-03-17 12:00:00,1.721700
1982-03-18 12:00:00,1.725200
1982-03-19 12:00:00,1.725300
1982-03-22 12:00:00,1.723600
1982-03-23 12:00:00,1.721700
1982-03-24 12:00:00,1.731100
1982-03-25 12:00:00,1.727500
1982-03-26 12:00:00,1.725100
1982-03-29 12:00:00,1.723300
1982-03-30 12:00:00,1.718500
1982-03-31 12:00:00,1.718100
1982-04-01 12:00:00,1.725100
1982-04-02 12:00:00,1.727400
1982-04-05 12:00:00,1.727500
1982-04-06 12:00:00,1.722700
1982-04-07 12:00:00,1.726500
1982-04-13 12:00:00,1.731700
1982-04-14 12:00:00,1.732100
1982-04-15 12:00:00,1.733300
1982-04-16 12:00:00,1.732500
